,carat,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,clarity_I1,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2,cut,color,clarity,priceperpoint,carat_discrete
41,0.33,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,7,6,1,1
42,0.26,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,5,1,1
43,0.26,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,4,1,1
44,0.32,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,5,7,1,1
45,0.29,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,3,6,1,1
46,0.32,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,5,7,1,1
47,0.32,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,5,7,1,1
48,0.25,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,5,1,1
49,0.29,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,5,7,1,1
50,0.24,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,3,6,1,1
51,0.23,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,4,1,1
52,0.32,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,6,6,1,1
53,0.22,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,5,1,1
54,0.22,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,5,1,1
55,0.3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,6,7,1,1
56,0.3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,7,7,1,1
57,0.3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,6,6,1,1
58,0.3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,6,6,1,1
59,0.3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,6,6,1,1
60,0.35,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,6,4,1,1
61,0.3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,6,1,1
62,0.3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,6,1,1
63,0.3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,6,1,1
64,0.42,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,6,7,1,1
65,0.28,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4,3,1,1
66,0.32,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,6,2,1,1
67,0.31,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,4,6,1,1
68,0.31,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,4,6,1,1
69,0.24,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,1
70,0.24,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,2,1
71,0.3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,5,6,1,1
72,0.3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,5,6,1,1
73,0.3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,5,6,1,1
74,0.3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,5,6,1,1
75,0.26,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,2,1
76,0.26,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,2,1
77,0.26,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,2,1
78,0.26,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,2,1
79,0.26,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,2,1
80,0.26,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,2,1
81,0.26,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,2,1
82,0.26,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,1
83,0.38,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,6,7,1,1
84,0.26,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,2,2,1
85,0.24,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,4,2,2,1
86,0.24,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,5,2,2,1
87,0.24,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,5,2,2,1
88,0.24,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,5,3,2,1
89,0.32,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,6,6,1,1
90,0.7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,6,2,2
91,0.86,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,7,2,2
92,0.7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,4,5,2,2
93,0.71,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,5,2,2
94,0.78,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,4,7,2,2
95,0.7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,5,2,2
96,0.7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,3,4,2,2
97,0.96,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,3,7,2,2
98,0.73,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,6,2,2
99,0.8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,5,6,2,2
100,0.75,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,6,2,2
101,0.75,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,6,2,2
102,0.74,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,6,2,2
103,0.75,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,4,5,2,2
104,0.8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,6,4,2,2
105,0.75,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,6,2,2
106,0.8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,4,6,2,2
107,0.74,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6,3,2,2
108,0.81,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,7,2,2
109,0.59,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,2
110,0.8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,7,2,2
111,0.74,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,7,2,2
112,0.9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,6,5,2,2
113,0.74,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,4,6,2,2
114,0.73,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,5,2,2
115,0.73,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,5,2,2
116,0.8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,3,7,2,2
117,0.71,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,4,5,2,2
118,0.7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,5,2,2
119,0.8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,7,2,2
120,0.71,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,7,2,2
121,0.74,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,6,2,2
122,0.7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,3,5,2,2
123,0.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,3,5,2,2
124,0.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,3,5,2,2
125,0.7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,3,5,2,2
126,0.91,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,5,6,2,2
127,0.61,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,3,2
128,0.91,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,5,7,2,2
129,0.91,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,5,7,2,2
130,0.77,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,5,5,2,2
131,0.71,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,6,2,2
132,0.71,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,6,2,2
133,0.7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,5,2,2
134,0.77,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,5,4,2,2
135,0.63,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,3,2
136,0.71,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,3,4,2,2
137,0.71,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,3,4,2,2
138,0.76,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,5,6,2,2
139,0.64,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,4,2,3,2
140,0.71,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,4,5,2,2
141,0.71,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,4,5,2,2
142,0.7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,5,2,2
143,0.7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,3,4,2,2
144,0.71,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,7,2,2
145,0.7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,5,3,2,2
146,0.71,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,4,4,2,2
147,0.73,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,6,2,2
148,0.7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,6,2,2
149,0.7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,6,2,2
150,0.71,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,7,2,2
151,0.74,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,6,6,2,2
152,0.71,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,5,2,2
153,0.73,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,4,5,2,2
154,0.76,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,3,6,2,2
155,0.76,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,7,2,2
156,0.71,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,6,2,2
157,0.73,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,4,5,2,2
158,0.73,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,4,4,2,2
159,0.73,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,7,2,2
160,0.73,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,4,5,2,2
161,0.72,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,5,3,2,2
162,0.73,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,3,6,2,2
163,0.71,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,4,5,2,2
164,0.79,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,7,2,2
165,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,5,2,2,2
166,0.8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,3,7,2,2
167,0.58,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,4,2,3,2
168,0.58,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,3,2
169,0.71,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,5,2,2
170,0.75,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,7,2,2
171,0.7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,5,2,2
172,1.17,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,7,8,2,3
173,0.6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,4,3,2
174,0.7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,6,2,2
175,0.83,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,6,5,2,2
176,0.74,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,3,5,2,2
177,0.72,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,4,5,2,2
178,0.71,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,5,2,2
179,0.71,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,5,2,2
180,0.54,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,2
181,0.54,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,2
182,0.72,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,6,2,2
183,0.72,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,6,2,2
184,0.72,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,4,5,2,2
185,0.71,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,6,2,2
186,0.7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,4,2,2
187,0.71,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,3,5,2,2
188,0.71,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,3,5,2,2
189,0.71,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,3,5,2,2
190,0.71,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,3,5,2,2
191,0.7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,5,2,2
192,0.7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,5,2,2
193,0.7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,6,2,2
194,0.7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,6,2,2
195,0.7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,6,2,2
196,0.7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,6,2,2
197,0.7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,6,2,2
198,0.7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,6,2,2
199,0.72,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,3,6,2,2
200,0.7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,6,2,2
201,0.7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,6,2,2
202,0.7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,6,2,2
203,0.7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,5,2,2
204,0.98,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,5,7,2,2
205,0.78,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,3,6,2,2
206,0.7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,6,2,2
207,0.52,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,3,2
208,0.73,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,5,5,2,2
209,0.74,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,6,2,2
210,0.7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,3,5,2,2
211,0.77,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,4,5,2,2
212,0.71,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,5,2,2
213,0.74,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,4,2,2
214,0.7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,4,2,2
215,1.01,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,3,8,2,3
216,0.77,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,5,6,2,2
217,0.78,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,5,6,2,2
218,0.72,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,5,4,2,2
219,0.53,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,3,2
220,0.76,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,4,5,2,2
221,0.7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,4,2,2
222,0.7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,4,2,2
223,0.75,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,7,2,2
224,0.72,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,6,2,2
225,0.72,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,6,2,2
226,0.7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,6,2,2
227,0.84,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,4,6,2,2
228,0.75,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,3,6,2,2
229,0.52,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,3,2
230,0.72,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,3,5,2,2
231,0.79,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,5,4,2,2
232,0.72,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,3,5,2,2
233,0.51,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,3,2
234,0.64,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4,3,2
235,0.7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,5,2,2,2
236,0.83,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,6,4,2,2
237,0.76,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6,3,2,2
238,0.71,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,5,2,2
239,0.77,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,4,4,2,2
240,0.71,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,6,2,2
241,1.01,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,8,2,3
242,1.01,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,5,7,2,3
243,0.77,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,3,6,2,2
